Alg,N,Time(sec),GFLOPS
jki,2500,36.88,0.85
kij,2500,12.25,2.55
kji,2500,37.20,0.84
i2kj,2500,7.43,4.21
ik2j,2500,7.56,4.13
ikj2,2500,9.32,3.35
k2ij,2500,6.50,4.81
ki2j,2500,8.74,3.58
kij2,2500,10.99,2.84
ik4j,2500,6.59,4.74
ik8j,2500,6.00,5.20
ik16j,2500,5.87,5.32
ijk_block2,2500,9.71,3.22
ijk_block4,2500,13.06,2.39
ijk_block5,2500,18.18,1.72
ijk_block10,2500,10.70,2.92
ijk_block20,2500,11.24,2.78
ijk_block50,2500,11.43,2.73
ikj_block2,2500,9.20,3.40
ikj_block4,2500,12.72,2.46
ikj_block5,2500,11.07,2.82
ikj_block10,2500,10.08,3.10
ikj_block20,2500,9.78,3.20
ikj_block50,2500,8.40,3.72
k4ij,2500,5.10,6.13
k8ij,2500,4.71,6.63
k16ij,2500,4.85,6.45
ik10j,200,0.00,8.26
ik20j,200,0.00,4.00
k10ij,200,0.00,7.99
k20ij,200,0.00,5.34
ik10j,300,0.01,6.76
ik20j,300,0.01,6.00
k10ij,300,0.01,6.75
k20ij,300,0.01,5.40
ik10j,400,0.02,6.40
ik20j,400,0.02,5.82
k10ij,400,0.02,6.74
k20ij,400,0.02,5.56
ik10j,500,0.04,6.25
ik20j,500,0.04,5.56
k10ij,500,0.04,6.76
k20ij,500,0.05,5.43
ik10j,600,0.07,5.92
ik20j,600,0.08,5.33
k10ij,600,0.06,6.75
k20ij,600,0.08,5.47
ik10j,700,0.11,6.41
ik20j,700,0.12,5.62
k10ij,700,0.10,6.86
k20ij,700,0.12,5.53
ik10j,800,0.16,6.52
ik20j,800,0.18,5.66
k10ij,800,0.15,6.83
k20ij,800,0.19,5.51
ik10j,900,0.22,6.54
ik20j,900,0.26,5.59
k10ij,900,0.21,6.78
k20ij,900,0.26,5.52
ik10j,1000,0.31,6.47
ik20j,1000,0.35,5.68
k10ij,1000,0.29,6.90
k20ij,1000,0.37,5.41
ik10j,1100,0.40,6.59
ik20j,1100,0.46,5.72
k10ij,1100,0.39,6.86
k20ij,1100,0.48,5.51
ik10j,1200,0.52,6.65
ik20j,1200,0.60,5.71
k10ij,1200,0.50,6.86
k20ij,1200,0.63,5.52
ik10j,1300,0.66,6.66
ik20j,1300,0.76,5.79
k10ij,1300,0.64,6.87
k20ij,1300,0.80,5.51
ik10j,1400,0.82,6.67
ik20j,1400,0.95,5.78
k10ij,1400,0.80,6.85
k20ij,1400,0.99,5.52
ik10j,1500,1.01,6.67
ik20j,1500,1.19,5.69
k10ij,1500,0.98,6.86
k20ij,1500,1.22,5.51
ik10j,1600,1.22,6.73
ik20j,1600,1.42,5.79
k10ij,1600,1.20,6.82
k20ij,1600,1.48,5.52
ik10j,1700,1.47,6.70
ik20j,1700,1.69,5.82
k10ij,1700,1.45,6.76
k20ij,1700,1.79,5.49
ik10j,1800,1.81,6.46
ik20j,1800,2.04,5.72
k10ij,1800,1.72,6.79
k20ij,1800,2.12,5.50
ik10j,1900,2.04,6.74
ik20j,1900,2.35,5.84
k10ij,1900,2.02,6.79
k20ij,1900,2.51,5.47
ik10j,2000,2.37,6.74
ik20j,2000,2.74,5.85
k10ij,2000,2.39,6.70
k20ij,2000,2.91,5.50
ik10j,2100,2.87,6.46
ik20j,2100,3.23,5.73
k10ij,2100,2.76,6.70
k20ij,2100,3.36,5.51
ik10j,2200,3.88,5.48
ik20j,2200,3.97,5.36
k10ij,2200,3.17,6.71
k20ij,2200,3.89,5.47
ik10j,2300,4.67,5.21
ik20j,2300,4.78,5.09
k10ij,2300,3.63,6.70
k20ij,2300,4.42,5.51
ik10j,2400,5.86,4.72
ik20j,2400,5.70,4.85
k10ij,2400,4.14,6.68
k20ij,2400,5.02,5.51
ik10j,2500,6.61,4.73
ik20j,2500,6.46,4.84
k10ij,2500,4.70,6.64
k20ij,2500,5.69,5.49
